ExpenseID,PropertyID,ExpenseType,Amount,Date
90,113,Renovation,250000,04/02/2023
91,114,Maintenance,50000,18/10/2023
92,115,Renovation,50000,18/05/2023
93,117,Renovation,100000,29/08/2023
94,120,Property Taxes,50000,29/07/2023
95,123,Renovation,250000,15/06/2023
96,124,Maintenance,100000,10/01/2023
97,126,Maintenance,250000,26/01/2023
98,127,Renovation,250000,23/01/2023
99,128,Maintenance,150000,07/04/2023
100,129,Renovation,50000,11/06/2023
101,130,Maintenance,300000,10/06/2023
102,131,Property Taxes,150000,25/11/2023
103,132,Renovation,150000,13/01/2023
104,133,Maintenance,300000,04/06/2023
105,134,Property Taxes,250000,04/02/2023
106,135,Renovation,300000,08/05/2023
107,136,Maintenance,50000,13/08/2023
108,137,Renovation,250000,19/12/2023
109,138,Property Taxes,200000,28/01/2023
110,139,Renovation,250000,25/12/2023
111,140,Property Taxes,250000,16/09/2023
112,141,Property Taxes,50000,03/09/2023
113,142,Maintenance,250000,12/03/2023
114,144,Property Taxes,300000,27/08/2023
115,145,Property Taxes,250000,04/11/2023
116,146,Maintenance,150000,11/06/2023
117,147,Property Taxes,300000,19/03/2023
118,148,Maintenance,300000,14/04/2023
119,149,Maintenance,250000,03/04/2023
120,150,Property Taxes,50000,16/04/2023
121,152,Renovation,150000,22/03/2023
122,153,Property Taxes,300000,11/05/2023
123,154,Renovation,100000,10/11/2023
124,156,Property Taxes,300000,08/05/2023
125,157,Maintenance,100000,19/03/2023
126,158,Property Taxes,250000,24/03/2023
127,159,Maintenance,150000,28/12/2023
128,160,Renovation,200000,03/04/2023
129,162,Property Taxes,300000,20/02/2023
130,163,Renovation,100000,12/03/2023
131,164,Property Taxes,300000,28/01/2023
132,165,Maintenance,150000,28/03/2023
133,167,Maintenance,300000,13/01/2023
134,168,Property Taxes,100000,03/07/2023
135,169,Renovation,300000,13/11/2023
136,170,Property Taxes,150000,22/03/2023
137,171,Property Taxes,250000,25/03/2023
138,174,Property Taxes,150000,02/12/2023
139,175,Renovation,150000,19/10/2023
140,176,Property Taxes,50000,14/04/2023
141,177,Maintenance,250000,10/09/2023
142,178,Property Taxes,300000,17/12/2023
143,179,Property Taxes,200000,25/11/2023
144,181,Maintenance,300000,09/12/2023
145,182,Property Taxes,300000,13/03/2023
146,183,Renovation,100000,25/05/2023
147,184,Property Taxes,150000,17/12/2023
148,185,Renovation,150000,10/11/2023
149,186,Property Taxes,250000,23/01/2023
150,187,Property Taxes,50000,11/03/2023
151,189,Property Taxes,300000,11/01/2023
152,190,Renovation,100000,18/12/2023
153,191,Maintenance,200000,11/03/2023
154,193,Property Taxes,150000,25/12/2023
155,194,Property Taxes,50000,20/02/2023
156,195,Property Taxes,100000,28/11/2023
157,196,Maintenance,100000,26/09/2023
158,198,Property Taxes,200000,30/11/2023
159,199,Renovation,250000,02/12/2023
160,200,Maintenance,300000,10/07/2023
